s,phi,matching,identity_gap,next_best_gap,same_label
0.1,0.3,0-1-2-3,0.0,0.2730745060235447,True
0.1,0.32499999999999996,0-1-2-3,0.0,0.2684136844666478,True
0.1,0.35,0-1-2-3,0.0,0.26371138463807003,True
0.1,0.37499999999999994,0-1-2-3,0.0,0.2589683462055673,True
0.1,0.39999999999999997,0-1-2-3,0.0,0.2541853145474697,True
0.1,0.425,0-1-2-3,0.0,0.24936304063022857,True
0.1,0.44999999999999996,0-1-2-3,0.0,0.24450228088612383,True
0.1,0.475,0-1-2-3,0.0,0.2396037970909728,True
0.1,0.49999999999999994,0-1-2-3,0.0,0.23466835624196883,True
0.1,0.5249999999999999,0-1-2-3,0.0,0.22969673043568076,True
0.1,0.5499999999999999,0-1-2-3,0.0,0.22468969674613504,True
0.1,0.575,0-1-2-3,0.0,0.21964803710312608,True
0.1,0.6,0-1-2-3,0.0,0.21457253817069546,True
0.122,0.0,0-1-2-3,0.0,0.3964685284040296,True
0.122,0.024999999999999998,0-1-2-3,0.0,0.39145739930885776,True
0.122,0.049999999999999996,0-1-2-3,0.0,0.3863857194799703,True
0.122,0.075,0-1-2-3,0.0,0.38125433297162203,True
0.122,0.09999999999999999,0-1-2-3,0.0,0.3760640624268196,True
0.122,0.12499999999999999,0-1-2-3,0.0,0.3708157387219211,True
0.122,0.15,0-1-2-3,0.0,0.3655102008091342,True
0.122,0.175,0-1-2-3,0.0,0.3601482955588707,True
0.122,0.19999999999999998,0-1-2-3,0.0,0.3547308776026634,True
0.122,0.22499999999999998,0-1-2-3,0.0,0.34925880917611485,True
0.122,0.24999999999999997,0-1-2-3,0.0,0.34373295996221276,True
0.122,0.27499999999999997,0-1-2-3,0.0,0.33815420693510356,True
0.122,0.3,0-1-2-3,0.0,0.33252343420421737,True
0.122,0.32499999999999996,0-1-2-3,0.0,0.32684153285884754,True
0.122,0.35,0-1-2-3,0.0,0.32110940081335937,True
0.122,0.37499999999999994,0-1-2-3,0.0,0.31532794265286557,True
0.122,0.39999999999999997,0-1-2-3,0.0,0.3094980694795766,True
0.122,0.425,0-1-2-3,0.0,0.30362069875976916,True
0.122,0.44999999999999996,0-1-2-3,0.0,0.2976967541714793,True
0.122,0.475,0-1-2-3,0.0,0.29172716545289334,True
0.122,0.49999999999999994,0-1-2-3,0.0,0.28571286825152575,True
0.122,0.5249999999999999,0-1-2-3,0.0,0.2796548039741492,True
0.122,0.5499999999999999,0-1-2-3,0.0,0.2735539196375866,True
0.122,0.575,0-1-2-3,0.0,0.26741116772031837,True
0.122,0.6,0-1-2-3,0.0,0.26122750601496814,True
