s,jeffreys_mean,jeffreys_standard_error,jeffreys_ci_lower,jeffreys_ci_upper,jeffreys_relative_ci_half_width,affinity_deficit_mean,affinity_deficit_standard_error,affinity_deficit_ci_lower,affinity_deficit_ci_upper,affinity_deficit_relative_ci_half_width,jeffreys_over_s6,affinity_deficit_over_s6,local_identity_ratio
0.045,2.2954017903446614e-09,4.1394771986536453e-11,2.2134890069031325e-09,2.3773145737861904e-09,0.03568559708635121,2.8692521990148534e-10,5.1743459418366165e-12,2.766861230724686e-10,2.971643167305021e-10,0.03568559373251431,0.2764290195563729,0.034553626975892086,1.0000000135631066
0.055,7.613440057174707e-09,1.3591351868656878e-10,7.344491731367523e-09,7.882388382981891e-09,0.03532546704084624,9.516799651584513e-10,1.6989184022677785e-11,9.180614359357149e-10,9.852984943811878e-10,0.03532545651219951,0.2750456595393448,0.03438070592553171,1.0000000441202805
0.067,2.4695735650703346e-08,4.3474106358152673e-10,2.3835461541550726e-08,2.5556009759855966e-08,0.03483492540252064,3.08696652577533e-09,5.434257587468639e-11,2.9794323750684284e-09,3.1945006764822314e-09,0.03483489367604753,0.2730066032417562,0.034125820645433,1.0000001394775695
0.082,8.204847643353891e-08,1.4161149049739426e-09,7.92462405961926e-08,8.485071227088522e-08,0.034153417091372644,1.0256054964581303e-08,1.7701378896541705e-10,9.905776621064767e-09,1.0606333308097838e-08,0.03415332159648148,0.26989038118543585,0.03373628255110598,1.0000004475025803
0.1,2.6535124567617803e-07,4.461085227123188e-09,2.5652356308277236e-07,2.741789282695837e-07,0.0332679146499224,3.316885979719806e-08,5.576302730827642e-10,3.20654101196802e-08,3.4272309474715916e-08,0.0332676397158239,0.2653512456761779,0.033168859797198046,1.0000013841996522
0.122,8.529998286187414e-07,1.384582576173773e-08,8.256014381273227e-07,8.803982191101601e-07,0.03212004219952157,1.066245306532677e-07,1.7306787080979483e-09,1.0319982981738918e-07,1.1004923148914621e-07,0.03211925825038614,0.25869614666963653,0.03233688248815301,1.0000042009476828
