budget,spread,mean
0.25,0.0005495204829666367,0.991606179247301
0.5,0.0010899947787044173,0.983282866508735
1.0,0.0021438375806316357,0.9668453393312455
2.0,0.004146646885692329,0.9347904558876716
4.0,0.007756716884384285,0.8738352451791136
8.0,0.013570917924143555,0.7635951906180757
16.0,0.020770975275225534,0.5830995675020397
32.0,0.0243306515796462,0.3400564992307078
64.0,0.016697583490912993,0.11570892100677932
128.0,0.00393703797282785,0.013421744096987745
