s,phi,contrast,numerical_residual,analytic_residual,absolute_error,relative_error
0.045,0.19999999999999998,0.0,6.663420771549455e-16,0.0,6.663420771549455e-16,
0.045,0.19999999999999998,0.25,0.0018248943299553763,0.0018248943299553773,1.0842021724855044e-18,5.941177824318275e-16
0.045,0.19999999999999998,0.5,0.0036497886599107564,0.0036497886599107547,1.734723475976807e-18,4.752942259454619e-16
0.045,0.22499999999999998,0.0,4.443195430789018e-16,0.0,4.443195430789018e-16,
0.045,0.22499999999999998,0.25,0.0020493627959676745,0.002049362795967674,4.336808689942018e-19,2.116174207160939e-16
0.045,0.22499999999999998,0.5,0.004098725591935346,0.004098725591935348,1.734723475976807e-18,4.232348414321878e-16
0.045,0.24999999999999997,0.0,4.469044611946784e-16,0.0,4.469044611946784e-16,
0.045,0.24999999999999997,0.25,0.0022725504769421307,0.00227255047694213,8.673617379884035e-19,3.8166885479063036e-16
0.045,0.24999999999999997,0.5,0.004545100953884258,0.00454510095388426,1.734723475976807e-18,3.8166885479063036e-16
0.045,0.27499999999999997,0.0,4.443063335405022e-16,0.0,4.443063335405022e-16,
0.045,0.27499999999999997,0.25,0.002494317887843209,0.002494317887843208,8.673617379884035e-19,3.4773504300143383e-16
0.045,0.27499999999999997,0.5,0.004988635775686415,0.004988635775686416,8.673617379884035e-19,1.7386752150071691e-16
0.045,0.3,0.0,2.221534271247221e-16,0.0,2.221534271247221e-16,
0.045,0.3,0.25,0.002714526431257938,0.0027145264312579366,1.3010426069826053e-18,4.792889809437921e-16
0.045,0.3,0.5,0.005429052862515873,0.005429052862515873,0.0,0.0
0.045,0.32499999999999996,0.0,6.668395883267859e-16,0.0,6.668395883267859e-16,
0.045,0.32499999999999996,0.25,0.002933038484014779,0.002933038484014778,8.673617379884035e-19,2.9572122654222675e-16
0.045,0.32499999999999996,0.5,0.0058660769680295545,0.005866076968029556,1.734723475976807e-18,2.9572122654222675e-16
0.045,0.35,0.0,4.454231769623977e-16,0.0,4.454231769623977e-16,
0.045,0.35,0.25,0.0031497174831936346,0.003149717483193635,4.336808689942018e-19,1.3768881536463199e-16
0.045,0.35,0.5,0.006299434966387268,0.00629943496638727,1.734723475976807e-18,2.7537763072926398e-16
0.045,0.37499999999999994,0.0,4.443063798102756e-16,0.0,4.443063798102756e-16,
0.045,0.37499999999999994,0.25,0.003364428011473227,0.0033644280114732256,1.3010426069826053e-18,3.8670543775817067e-16
0.045,0.37499999999999994,0.5,0.00672885602294645,0.006728856022946451,8.673617379884035e-19,1.289018125860569e-16
0.045,0.39999999999999997,0.0,4.443066137896309e-16,0.0,4.443066137896309e-16,
0.045,0.39999999999999997,0.25,0.003577035881762506,0.003577035881762505,8.673617379884035e-19,2.4248058075420545e-16
0.045,0.39999999999999997,0.5,0.007154071763525009,0.00715407176352501,8.673617379884035e-19,1.2124029037710272e-16
0.045,0.425,0.0,4.446055103743135e-16,0.0,4.446055103743135e-16,
0.045,0.425,0.25,0.0037874082210632275,0.003787408221063227,4.336808689942018e-19,1.1450597445037386e-16
0.045,0.425,0.5,0.007574816442126453,0.007574816442126454,8.673617379884035e-19,1.1450597445037386e-16
0.045,0.44999999999999996,0.0,4.454286752302375e-16,0.0,4.454286752302375e-16,
0.045,0.44999999999999996,0.25,0.0039954135535112435,0.003995413553511244,8.673617379884035e-19,2.1708935167078005e-16
0.045,0.44999999999999996,0.5,0.007990827107022485,0.007990827107022489,3.469446951953614e-18,4.341787033415601e-16
0.045,0.475,0.0,2.2215583829416634e-16,0.0,2.2215583829416634e-16,
0.045,0.475,0.25,0.004200921882544643,0.004200921882544642,8.673617379884035e-19,2.064693803501561e-16
0.045,0.475,0.5,0.008401843765089281,0.008401843765089284,3.469446951953614e-18,4.129387607003122e-16
0.045,0.49999999999999994,0.0,4.451294005808078e-16,0.0,4.451294005808078e-16,
0.045,0.49999999999999994,0.25,0.00440380477214736,0.00440380477214736,0.0,0.0
0.045,0.49999999999999994,0.5,0.00880760954429472,0.00880760954429472,0.0,0.0
0.045,0.5249999999999999,0.0,2.2215530765163277e-16,0.0,2.2215530765163277e-16,
0.045,0.5249999999999999,0.25,0.00460393542711752,0.004603935427117519,8.673617379884035e-19,1.883957218165092e-16
0.045,0.5249999999999999,0.5,0.009207870854235037,0.009207870854235039,1.734723475976807e-18,1.883957218165092e-16
0.045,0.5499999999999999,0.0,4.443071422729338e-16,0.0,4.443071422729338e-16,
0.045,0.5499999999999999,0.25,0.004801188772310299,0.004801188772310297,1.734723475976807e-18,3.6131124149531634e-16
0.045,0.5499999999999999,0.5,0.009602377544620592,0.009602377544620594,1.734723475976807e-18,1.8065562074765817e-16
0.045,0.575,0.0,2.253406935715113e-16,0.0,2.253406935715113e-16,
0.045,0.575,0.25,0.0049954415308058235,0.004995441530805823,8.673617379884035e-19,1.7363064558749586e-16
0.045,0.575,0.5,0.009990883061611645,0.009990883061611645,0.0,0.0
0.045,0.6,0.0,4.443073692844509e-16,0.0,4.443073692844509e-16,
0.045,0.6,0.25,0.005186572300953236,0.005186572300953236,0.0,0.0
