gate,s,budget,sample_size,primary,affinity,lower,upper
support,0.082,4.0,594.8839976204639,0.051235217429874684,0.26359713811572666,0.051235217429874684,0.051235217429874684
dictionary,0.082,4.0,13157606.0,0.8737638528951434,0.8737638528951434,0.2568247908534701,0.4368819264475717
parent,0.082,8.0,2.0,0.17123666890114725,0.6372613791176145,0.17123666890114725,0.17123666890114725
support,0.082,8.0,1189.7679952409278,0.010460667668897007,0.06948345122280149,0.010460667668897007,0.010460667668897007
dictionary,0.082,8.0,26315212.0,0.7634632706261657,0.7634632706261657,0.17707437605355703,0.38173163531308285
parent,0.082,16.0,4.0,0.08971725076587522,0.406102065314884,0.08971725076587522,0.08971725076587522
support,0.082,16.0,2379.5359904818556,0.000545417588062648,0.004827949993831433,0.000545417588062648,0.000545417588062648
dictionary,0.082,16.0,52630424.0,0.582876165595202,0.582876165595202,0.09371950096607062,0.291438082797601
parent,0.082,32.0,8.0,0.028809911717806603,0.16491888745301433,0.028809911717806603,0.028809911717806603
support,0.082,32.0,4759.071980963711,1.9298082184642186e-06,2.3309101142936935e-05,1.9298082184642186e-06,1.9298082184642186e-06
dictionary,0.082,32.0,105260848.0,0.33974462441896525,0.33974462441896525,0.029741137728799383,0.16987231220948262
parent,0.082,64.0,16.0,0.0036265285625371514,0.027198239438740005,0.0036265285625371514,0.0036265285625371514
support,0.082,64.0,9518.143961927422,3.2454506079005654e-11,5.433141960916639e-10,3.2454506079005654e-11,3.2454506079005654e-11
dictionary,0.082,64.0,210521696.0,0.1154264098215837,0.1154264098215837,0.003341982870582294,0.05771320491079185
parent,0.082,128.0,32.0,7.318212572774266e-05,0.0007397442285670322,7.318212572774266e-05,7.318212572774266e-05
support,0.082,128.0,19036.287923854845,1.2603888836154131e-20,2.95190315674731e-19,1.2603888836154131e-20,1.2603888836154131e-20
dictionary,0.082,128.0,421043392.0,0.013323256084300183,0.013323256084300183,4.437925769046336e-05,0.006661628042150092
parent,0.1,0.25,0.0625,0.43420266808286695,0.9863681098343159,0.43420266808286695,0.43420266808286695
support,0.1,0.25,24.999999999999996,0.34154569915480437,0.9200444146293232,0.34154569915480437,0.34154569915480437
dictionary,0.1,0.25,250000.0,0.9917420704954444,0.9917420704954444,0.43587577367053654,0.4958710352477222
parent,0.1,0.5,0.125,0.40737095733426676,0.9729220480981211,0.40737095733426676,0.40737095733426676
support,0.1,0.5,49.99999999999999,0.28185143082538655,0.846481724890614,0.28185143082538655,0.28185143082538655
dictionary,0.1,0.5,500000.0,0.9835523343905909,0.9835523343905909,0.4096883098447116,0.49177616719529543
parent,0.1,1.0,0.25,0.3701829767195323,0.9465773116754426,0.3701829767195323,0.3701829767195323
support,0.1,1.0,99.99999999999999,0.2071080891212626,0.7165313105737892,0.2071080891212626,0.2071080891212626
dictionary,0.1,1.0,1000000.0,0.9673751944851807,0.9673751944851807,0.37332597632628195,0.48368759724259036
parent,0.1,2.0,0.5,0.31966842143038254,0.896008606978708,0.31966842143038254,0.31966842143038254
support,0.1,2.0,199.99999999999997,0.12410653949496181,0.5134171190325919,0.12410653949496181,0.12410653949496181
dictionary,0.1,2.0,2000000.0,0.9358147669052412,0.9358147669052412,0.32375392058113106,0.4679073834526206
parent,0.1,4.0,1.0,0.2537493329325222,0.8028314237799248,0.2537493329325222,0.2537493329325222
support,0.1,4.0,399.99999999999994,0.051235217429874684,0.26359713811572666,0.051235217429874684,0.051235217429874684
dictionary,0.1,4.0,4000000.0,0.875749277957911,0.875749277957911,0.25861690088357603,0.4378746389789555
parent,0.1,8.0,2.0,0.17431436814788592,0.6445382950085012,0.17431436814788592,0.17431436814788592
support,0.1,8.0,799.9999999999999,0.010460667668897007,0.06948345122280149,0.010460667668897007,0.010460667668897007
dictionary,0.1,8.0,8000000.0,0.7669367978438024,0.7669367978438024,0.1791386794450387,0.3834683989219012
parent,0.1,16.0,4.0,0.09250681638036284,0.4154296137324658,0.09250681638036284,0.09250681638036284
support,0.1,16.0,1599.9999999999998,0.000545417588062648,0.004827949993831433,0.000545417588062648,0.000545417588062648
dictionary,0.1,16.0,16000000.0,0.5881920518869055,0.5881920518869055,0.0956393595758015,0.29409602594345274
parent,0.1,32.0,8.0,0.03043043914344026,0.17258176396590572,0.03043043914344026,0.03043043914344026
support,0.1,32.0,3199.9999999999995,1.9298082184642186e-06,2.3309101142936935e-05,1.9298082184642186e-06,1.9298082184642186e-06
dictionary,0.1,32.0,32000000.0,0.3459698899029282,0.3459698899029282,0.030877192176569923,0.1729849449514641
parent,0.1,64.0,16.0,0.004013284485837317,0.02978446525358359,0.004013284485837317,0.004013284485837317
support,0.1,64.0,6399.999999999999,3.2454506079005654e-11,5.433141960916639e-10,3.2454506079005654e-11,3.2454506079005654e-11
dictionary,0.1,64.0,64000000.0,0.11969516471944419,0.11969516471944419,0.0035946546564025184,0.059847582359722096
parent,0.1,128.0,32.0,8.876713077337779e-05,0.0008871143704419283,8.876713077337779e-05,8.876713077337779e-05
support,0.1,128.0,12799.999999999998,1.2603888836154131e-20,2.95190315674731e-19,1.2603888836154131e-20,1.2603888836154131e-20
dictionary,0.1,128.0,128000000.0,0.014326932457214836,0.014326932457214836,5.131788193341036e-05,0.007163466228607418
parent,0.122,0.25,0.0625,0.4352573992330387,0.9868026066759421,0.4352573992330387,0.4352573992330387
support,0.122,0.25,16.79656006449879,0.34154569915480437,0.9200444146293233,0.34154569915480437,0.34154569915480437
dictionary,0.122,0.25,75820.0,0.991948317503683,0.991948317503683,0.43667833032521053,0.4959741587518415
parent,0.122,0.5,0.125,0.4088425638299977,0.9737793845424342,0.4088425638299977,0.4088425638299977
