jeffreys,affinity_deficit,order,s
2.439356147573583e-08,3.0491948226468153e-09,10,0.067
2.435291075275042e-08,3.0441134761451414e-09,14,0.067
2.6193187575399574e-07,3.274144590824781e-08,10,0.1
2.6152155409694467e-07,3.26901552098454e-08,14,0.1
