jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size,s,actual_angle
2.295634665748516e-09,2.8695433189738325e-10,2.2956347080263156e-09,0.0010726092559281142,60,8192,0.045,0.30618621784789724
3.055921703978574e-09,3.819901969233126e-10,3.055922218346884e-09,0.002403210875465689,61,8192,0.045,0.30618621784789724
2.0660996621162095e-09,2.5826245625816857e-10,2.0660997103196543e-09,0.0009648784309153058,62,8192,0.045,0.30618621784789724
2.166971048189963e-09,2.708713799372494e-10,2.1669710829578327e-09,0.0008622149547008462,63,8192,0.045,0.30618621784789724
1.9801257932902978e-09,2.4751572321525306e-10,1.980125823563389e-09,0.0009417203201405044,64,8192,0.045,0.30618621784789724
2.746816238131499e-09,3.433520242569913e-10,2.7468164144337763e-09,0.0017358952053019294,65,8192,0.045,0.30618621784789724
2.561891033575701e-09,3.2023637700057954e-10,2.5618911038599648e-09,0.0010633408984617176,66,8192,0.045,0.30618621784789724
2.6332014218197064e-09,3.291501668376971e-10,2.633201770292244e-09,0.002341626245472739,67,8192,0.045,0.30618621784789724
2.183227282521842e-09,2.729034090517018e-10,2.1832273229547543e-09,0.0008899830939252951,68,8192,0.045,0.30618621784789724
2.5040876977468538e-09,3.1301095383714986e-10,2.5040879659454858e-09,0.002205696479915531,69,8192,0.045,0.30618621784789724
2.3949814746433218e-09,2.99372681895884e-10,2.3949815525483226e-09,0.0013372342298048068,70,8192,0.045,0.30618621784789724
2.0119673118404655e-09,2.5149591198334227e-10,2.0119673757353756e-09,0.0013356655974749998,71,8192,0.045,0.30618621784789724
2.5216892251690132e-09,3.152111504930551e-10,2.5216893100673046e-09,0.001224273529206954,72,8192,0.045,0.30618621784789724
2.2725554105675306e-09,2.840694250242325e-10,2.27255545206221e-09,0.0008802798429794478,73,8192,0.045,0.30618621784789724
1.928286504926188e-09,2.4103581233187987e-10,1.9282865300107846e-09,0.0008597028028098919,74,8192,0.045,0.30618621784789724
1.6555507186867048e-09,2.069438391999324e-10,1.6555507390356858e-09,0.0008219914750799973,75,8192,0.045,0.30618621784789724
2.550772844574562e-09,3.188466029606573e-10,2.5507729281317802e-09,0.001214465529040254,76,8192,0.045,0.30618621784789724
2.530248586564845e-09,3.162810710504795e-10,2.530248659208883e-09,0.0011928626848991541,77,8192,0.045,0.30618621784789724
1.7525736684781104e-09,2.1907170795760012e-10,1.7525736877473473e-09,0.0008335966544308349,78,8192,0.045,0.30618621784789724
4.592501514093171e-09,5.740626276786229e-10,4.592503484750111e-09,0.003578077025881754,79,8192,0.045,0.30618621784789724
2.668547953064198e-09,3.3356849202291166e-10,2.668548020587819e-09,0.0011950737979891102,80,8192,0.045,0.30618621784789724
2.3425433587465676e-09,2.9281791648460034e-10,2.342543466225627e-09,0.001592596370986854,81,8192,0.045,0.30618621784789724
4.302203572673502e-09,5.37775383257323e-10,4.302205599133394e-09,0.0037007881994171044,82,8192,0.045,0.30618621784789724
1.974329182038406e-09,2.467911465173444e-10,1.9743292216370086e-09,0.001050463510051003,83,8192,0.045,0.30618621784789724
2.483005776108493e-09,3.103757196372866e-10,2.4830058521492952e-09,0.0011183111624593067,84,8192,0.045,0.30618621784789724
