s,metric,order_relative_difference,mc_relative_difference,mc_allowed_relative_difference,pass
0.067,jeffreys,0.001669234671704239,0.014077368468744888,0.035207784026400936,True
0.067,affinity_deficit,0.001669236886697316,0.014077349601452663,0.03520775196034079,True
0.1,jeffreys,0.0015689783523501265,0.014643885061243233,0.03362400063926802,True
0.1,affinity_deficit,0.0015689952547842014,0.014643692704416483,0.03362372276238872,True
