p,nu,slope,r_squared,scaled_max_min_ratio,pass
0.1,0.3,5.759207246652176,0.9999120348132879,1.2823337598704716,True
0.1,0.5,5.906905038760887,0.9999840150091484,1.1018881140188383,True
0.1,1.0,5.943339461764716,0.9999944138678479,1.0607917618401967,True
0.2,0.3,5.86775485059299,0.9999685977754775,1.1476513291903427,True
0.2,0.5,5.901816326062336,0.9999804202212026,1.1077194151231897,True
0.2,1.0,5.9603844006128055,0.9999960194230373,1.0423213490852319,True
0.35,0.3,5.8767777801560745,0.9999648230369678,1.1373311749009152,True
0.35,0.5,5.914105474219089,0.9999844539545171,1.0936993226420342,True
0.35,1.0,5.954840647848268,0.999995407907552,1.0482971242654548,True
