h,jeffreys,affinity_deficit
0.1,1.3551614377491586e-08,1.6939517073918698e-09
0.15,3.0340042304053494e-08,3.792504831225966e-09
0.2,5.353192544881943e-08,6.691489230146269e-09
0.25,8.279785546011102e-08,1.0349728370442533e-08
0.35,1.5776335729363674e-07,1.9720405817705196e-08
0.45,2.508152903953525e-07,3.1351873208646216e-08
