jeffreys,affinity_deficit,order,s
2.2649098607677195e-09,2.831137292856401e-10,14,0.045
7.510111983198683e-09,9.387639620856408e-10,14,0.055
2.435291075275042e-08,3.0441134761451414e-09,14,0.067
8.088362745600188e-08,1.0110449510677393e-08,14,0.082
2.6152155409694467e-07,3.26901552098454e-08,14,0.1
8.406777952892577e-07,1.0508434748091886e-07,14,0.122
